close_time,close_outcome,close_odds
2024-09-08T20:01:10,home,-549
2024-09-08T22:36:27,home,-300
2024-09-08T22:36:27,home,-10000
2024-09-09T03:36:42,home,-2500
2024-09-15T19:47:43,home,-3333
2024-09-15T19:53:00,home,1000
2024-09-16T03:40:26,home,-3333
2024-09-22T19:59:41,home,310
2024-09-24T00:35:44,home,-20000
2024-09-27T03:12:48,home,475
2024-09-29T23:10:35,home,1200
2024-10-01T02:55:42,home,-1600
2024-10-06T16:46:11,home,-250
2024-10-06T18:22:02,home,-20000
2024-10-11T00:24:53,home,-190
2024-11-10T20:49:25,home,1700
2024-11-10T20:54:26,home,375
2024-11-11T04:34:39,home,550
2024-11-21T22:41:26,home,165
2024-11-22T04:16:40,home,-10000
2024-12-08T21:19:59,home,115
2024-12-09T00:15:05,home,-350
2024-12-09T04:06:58,home,-185
2024-01-21T23:01:04,home,-25000
2024-08-09T01:56:28,home,-20000
2024-08-10T22:32:58,home,2000
2024-08-18T01:38:28,home,1200
2024-08-19T02:24:11,home,-25000
2024-08-24T23:15:01,home,1400
2024-08-25T22:56:42,home,-12500
2024-10-27T12:57:53,home,165
2024-10-27T13:11:15,home,-145
2024-10-29T03:07:15,home,-800
2024-11-15T03:49:53,home,-5000
2024-11-17T21:19:27,home,-1613
2024-11-17T20:54:30,home,180
2024-11-29T03:57:42,home,-5000
2024-12-01T20:59:56,home,-2000
2024-12-15T21:12:55,home,800
2024-12-15T20:12:54,home,1400
2024-12-16T00:03:01,home,-3333
2024-12-23T04:34:15,home,-250
2024-12-30T04:36:06,home,-1613
2025-01-05T22:26:32,home,140
2025-01-05T22:26:32,home,-130
2025-01-05T22:26:32,home,-105
2023-08-28T03:03:07,home,675
2023-09-10T23:13:48,home,350
2023-09-24T19:43:08,home,-7500
2023-09-24T19:13:06,home,2000
2023-09-24T23:13:34,home,-5000
2023-10-01T19:38:24,home,-450
2023-10-01T19:39:28,home,550
2023-10-15T23:21:53,home,-1600
2023-10-15T23:31:52,home,-300
2023-11-05T21:15:54,home,750
2023-11-17T04:01:48,home,-220
2023-11-24T03:58:42,home,1200
2023-11-26T21:03:28,home,-5000
2023-11-27T01:02:04,home,-118
2023-11-28T04:02:15,home,150
2023-12-03T20:50:28,home,1600
2023-12-16T21:18:36,home,-20000
2023-12-17T03:23:01,home,-3300
2023-12-19T04:15:01,home,-1613
2023-12-22T03:16:09,home,-7500
2023-12-22T03:06:25,home,-1613
2023-12-26T04:02:48,home,1900
2023-12-31T21:03:19,home,550
2023-12-31T20:18:18,home,1700
2024-01-07T20:50:37,home,-1205
2020-09-21T00:22:21,home,-190
2020-09-27T20:10:49,home,-170
2020-10-04T19:23:23,home,-10000
2020-10-18T16:57:16,home,-135
2020-10-18T20:03:15,home,-143
2020-10-19T23:36:12,home,380
2020-11-01T20:55:54,home,-10000
2020-11-09T02:21:13,home,950
2020-11-15T20:58:10,home,-150
2020-11-22T17:55:13,home,-160
2020-11-24T04:16:04,home,102
2020-11-29T17:48:20,home,155
2020-12-01T00:40:44,home,145
2020-12-06T21:10:12,home,1150
2020-12-21T01:13:05,home,145
2020-12-21T03:20:15,home,1200
2020-12-28T02:53:32,home,-590
2020-12-29T00:54:01,home,135
2021-01-03T21:19:14,home,115
2021-01-03T19:54:17,home,130
2021-08-24T03:08:21,home,-1600
2021-08-28T03:05:34,home,-6600
2021-09-12T20:14:10,home,-530
2021-09-12T19:32:21,home,1600
2021-09-19T19:53:18,home,355
2021-09-19T23:51:39,home,1050
2021-09-26T19:43:06,home,-1400
2021-09-26T23:43:04,home,-195
2021-09-27T03:28:23,home,-240
2021-10-03T19:27:49,home,-10000
2021-10-10T20:07:45,home,650
2021-10-18T03:59:52,home,161
2021-10-18T03:59:33,home,125
2021-10-19T03:20:37,home,138
2021-10-24T19:37:38,home,140
2021-10-24T18:42:49,home,-10000
2021-10-24T22:57:45,home,-2500
2021-10-29T03:28:42,home,-125
2021-10-31T23:17:49,home,-10000
2021-11-15T00:09:13,home,-20000
2021-11-28T19:20:00,home,-8000
2021-11-28T19:05:08,home,-10000
2021-12-05T20:16:48,home,2000
2021-12-12T21:20:00,home,600
2021-12-19T21:11:07,home,-6600
2022-01-02T13:30:11,home,155
2022-01-09T17:28:19,home,200
2022-01-10T00:27:54,home,900
2021-01-10T17:57:50,home,160
2022-08-28T23:06:55,home,-20000
2022-09-11T20:18:00,home,700
2022-09-11T14:42:51,home,200
2022-09-11T22:08:04,home,1000
2022-09-10T18:37:23,home,220
2022-09-18T16:23:34,home,-175
2022-09-18T19:18:06,home,-25000
2022-09-25T17:16:25,home,180
2022-09-25T15:06:51,home,163
2022-09-25T16:32:22,home,145
2022-09-25T04:41:43,home,-118
2022-10-09T23:10:59,home,240
2022-10-09T20:21:16,home,185
2022-10-18T03:35:28,home,200
2022-10-17T22:35:35,home,-200
2022-10-23T16:44:40,home,110
2022-11-04T20:22:46,home,-133
2022-11-13T22:00:53,home,-350
2022-11-27T17:26:15,home,-350
2022-12-11T17:57:30,home,-222
2022-12-11T21:11:06,home,1700
2022-12-18T17:35:39,home,-225
2022-12-23T14:43:09,home,-188
2023-01-09T00:33:32,home,-250
2022-01-16T00:49:52,home,-370
2022-01-16T03:20:01,home,-176
2022-01-15T20:31:21,home,-222
2022-01-17T20:08:58,home,-175
2022-02-13T22:17:35,home,180
2023-01-22T22:46:10,home,1600
2023-01-19T13:22:23,home,-250
2023-01-23T02:32:05,home,-3300
2023-01-22T23:18:25,home,-188
